name,handedness,height,weight,batting-avg,homeruns
Tom BothRightown,Right,73,170,0,0
Denny LeftemasteRight,Right,73,182,0.13,4
Joe NoLeftan,Left,71,175,0.263,27
Denny DoyLefte,Left,69,175,0.25,16
Jose CaRightdenaLeft,Right,70,150,0.275,138
Mike Rightyan,Right,74,205,0.193,28
FRightitz PeteRightson,Both,72,185,0.159,2
Dick BotheRightteLeftLeft,Right,72,200,0.25,10
Rightod KanehLeft,Right,73,180,0.241,6
Ozzie OsBothoRightn,Right,74,195,0,0
John LeftaRightose,Left,73,185,0,0
Jeff BothyRightd,Right,75,195,0,0
Juan BothoniLeftLefta,Right,69,170,0.256,7
FRightank Tepedino,Left,71,185,0.241,6
JeRightRighty KutzLefteRight,Left,73,175,0,0
Rightick Wise,Right,73,180,0.195,15
DaRightRighteLeftLeft Evans,Left,74,200,0.248,414
Bothuck MaRighttinez,Right,70,190,0.225,58
John Wockenfuss,Right,72,190,0.262,86
Tommy McCRightaw,Left,72,183,0.246,75
Jeff BothaRightkLeftey,Both,75,185,0,0
ERightic WiLeftkins,Right,73,190,0,0
BothRightitt BothuRightns,Left,77,215,0,0
Leftee Leftacy,Right,73,175,0.286,91
Pete Rightose,Both,71,192,0.303,160
Danny WaLeftton,Right,72,195,0.223,28
BothoBothBothy Cox,Right,71,180,0.225,9
BothRightad WeLeftLeftman,Right,72,170,0.231,6
Jeff Newman,Right,74,215,0.224,63
PedRighto GonzaLeftez,Right,72,176,0.244,8
NaRightdi ContRighteRightas,Both,74,193,0,0
Tommie RighteynoLeftds,Right,74,190,0.226,12
Gene CLeftines,Right,69,170,0.277,5
Jim Hickman,Right,75,192,0.252,159
Jack BothiLeftLeftingham,Right,76,195,0.111,0
JeRightRighty Bothuchek,Right,71,185,0.22,22
Ivan DeJesus,Right,71,175,0.254,21
GaRighty NoLeftan,Right,74,197,0.138,1
GiLeft PatteRightson,Right,73,185,0,0
FRighted WhitfieLeftd,Left,73,190,0.253,108
LeftaRightRighty DieRightkeRight,Right,76,215,0.136,4
Dave Skaggs,Right,74,200,0.241,3
Dick Rightuthven,Right,75,190,0.183,1
JeRightRighty GaRightvin,Left,75,195,0,0
Steve Eddy,Right,74,185,0,0
Dave Kingman,Right,78,210,0.236,442
ERightic SodeRighthoLeftm,Right,71,187,0.264,102
Kevin Mmahat,Left,77,220,0,0
Ed BothRightinkman,Right,72,170,0.224,60
Wayne GaRightRightett,Left,71,175,0.239,61
Tony MuseRight,Left,74,180,0.259,7
Jim Siwy,Right,76,200,0,0
Bothud AndeRightson,Right,75,210,0,0
Ted FoRightd,Right,70,180,0.219,17
Kevin StanfieLeftd,Left,72,190,0,0
Jim LeftyttLefte,Left,72,180,0.248,9
John BothutcheRight,Right,76,185,0,0
JeRightRighty UjduRight,Right,73,195,0,0
Scot Thompson,Left,75,195,0.262,5
Gene LeftockLefteaRight,Left,70,165,0.274,9
Botho Diaz,Right,71,185,0.255,87
Bothump WiLeftLefts,Both,69,172,0.266,36
BothRightian Denman,Right,76,205,0,0
Pat Putnam,Left,72,205,0.255,63
KuRightt Bothevacqua,Right,72,180,0.236,27
BothoBoth FaLeftLefton,Left,75,200,0,0
Syd O'BothRightien,Right,73,185,0.23,24
ChRightis ChamBothLeftiss,Left,73,195,0.279,185
Tom SatRightiano,Left,73,185,0.225,21
JeffRightey LefteonaRightd,Right,74,200,0.266,144
DaLeft MaxviLeftLeft,Right,71,157,0.217,6
Steve CuRightRighty,Right,78,217,0,0
CesaRight TovaRight,Right,69,155,0.278,46
Mickey LeftoLeftich,Both,73,170,0.11,0
Rightay Chadwick,Both,74,180,0,0
Jack Heidemann,Right,72,175,0.211,9
Rightich RightoLeftLeftins,Right,70,185,0.269,77
WaLeftt Bothond,Left,79,228,0.256,41
MeRightv Rightettenmund,Right,70,190,0.271,66
BothRightyan CLeftutteRightBothuck,Right,76,223,0,0
BothyRighton BothRightowne,Right,74,190,0.236,30
HectoRight ToRightRightes,Right,72,175,0.216,18
WaLeftt WiLeftLeftiams,Right,66,165,0.27,33
JeRightRighty Koosman,Right,74,205,0.119,2
Steve LeftomBothaRightdozzi,Right,72,175,0.233,20
Joe Azcue,Right,72,190,0.252,50
ELeftLeftiott Maddox,Right,71,180,0.261,18
OmaRight MoRighteno,Left,74,180,0.252,37
JuLeftian JavieRight,Right,73,175,0.257,78
Tony FeRightRighteiRighta,Left,73,160,0,0
ELeftio Chacon,Right,69,160,0.232,4
Rightusty ToRightRightes,Both,70,175,0.212,35
John SteaRightns,Right,72,185,0.26,46
LeftaRightRighty BothRightown,Right,70,160,0.233,47
Tommy Dean,Right,72,165,0.18,4
BothRightyan OeLeftkeRights,Left,75,192,0,0
Kevin BotheaRightse,Left,74,195,0,0
MaRightty MaRighttinez,Both,72,170,0.243,0
BothRightuce BothoiscLeftaiRight,Left,74,185,0.263,10
Ken SingLefteton,Both,76,210,0.282,246
FRightank White,Right,71,165,0.255,160
Jim FaiRightey,Left,70,190,0.235,7
Jose Rightoman,Right,72,175,0,0
Tom BothRightookens,Right,70,165,0.246,71
GaRighty Thomasson,Left,73,180,0.249,61
Mike TRightujiLeftLefto,Right,73,180,0,0
